anho,SE.PRM.TENR.FE,SE.PRM.TENR.MA,SP.ADO.TFRT,SH.STA.BRTC.ZS,SL.AGR.0714.FE.ZS,SL.AGR.0714.MA.ZS,SL.MNF.0714.FE.ZS,SL.MNF.0714.MA.ZS,SL.SRV.0714.FE.ZS,SL.SRV.0714.MA.ZS,SL.TLF.0714.FE.ZS,SL.TLF.0714.MA.ZS,SL.TLF.0714.SW.FE.ZS,SL.TLF.0714.SW.MA.ZS,SL.TLF.0714.WK.FE.ZS,SL.TLF.0714.WK.MA.ZS,SE.PRM.UNER.FE,SE.PRM.UNER.MA,SH.CON.1524.FE.ZS,SH.CON.1524.MA.ZS,SP.DYN.CONU.ZS,SL.FAM.WORK.FE.ZS,SL.FAM.WORK.MA.ZS,SE.TER.CUAT.DO.FE.ZS,SE.TER.CUAT.DO.MA.ZS,SE.TER.CUAT.DO.ZS,SE.TER.CUAT.BA.FE.ZS,SE.TER.CUAT.BA.MA.ZS,SE.TER.CUAT.BA.ZS,SE.TER.CUAT.MS.FE.ZS,SE.TER.CUAT.MS.MA.ZS,SE.TER.CUAT.MS.ZS,SE.SEC.CUAT.LO.FE.ZS,SE.SEC.CUAT.LO.MA.ZS,SE.SEC.CUAT.LO.ZS,SE.SEC.CUAT.PO.FE.ZS,SE.SEC.CUAT.PO.MA.ZS,SE.SEC.CUAT.PO.ZS,SE.PRM.CUAT.FE.ZS,SE.PRM.CUAT.MA.ZS,SE.PRM.CUAT.ZS,SE.TER.CUAT.ST.FE.ZS,SE.TER.CUAT.ST.MA.ZS,SE.TER.CUAT.ST.ZS,SE.SEC.CUAT.UP.FE.ZS,SE.SEC.CUAT.UP.MA.ZS,SE.SEC.CUAT.UP.ZS,SL.EMP.MPYR.FE.ZS,SL.EMP.MPYR.MA.ZS,SL.AGR.EMPL.FE.ZS,SL.AGR.EMPL.MA.ZS,SL.IND.EMPL.FE.ZS,SL.IND.EMPL.MA.ZS,SL.SRV.EMPL.FE.ZS,SL.SRV.EMPL.MA.ZS,SL.EMP.TOTL.SP.FE.ZS,SL.EMP.TOTL.SP.MA.ZS,SL.EMP.1524.SP.FE.ZS,SL.EMP.1524.SP.MA.ZS,SP.HOU.FEMA.ZS,SP.DYN.TFRT.IN,IC.FRM.FEMO.ZS,IC.FRM.FEMM.ZS,SE.PRM.GINT.FE.ZS,SE.PRM.GINT.MA.ZS,SL.TLF.CACT.FE.ZS,SL.TLF.CACT.MA.ZS,SL.TLF.TOTL.FE.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SH.MMR.RISK.ZS,SH.MMR.RISK,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.MA.ZS,SE.ADT.1524.LT.FM.ZS,SE.ADT.1524.LT.FE.ZS,SE.ADT.1524.LT.MA.ZS,SH.STA.MMRT,SH.STA.MMRT.NE,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SE.PRM.NINT.FE.ZS,SE.PRM.NINT.MA.ZS,SL.TLF.PART.FE.ZS,SL.TLF.PART.MA.ZS,SE.PRM.PRS5.FE.ZS,SE.PRM.PRS5.MA.ZS,SE.PRM.PRSL.FE.ZS,SE.PRM.PRSL.MA.ZS,SH.STA.ANVC.ZS,SH.HIV.1524.FE.ZS,SH.HIV.1524.MA.ZS,SH.PRV.SMOK.FE,SH.PRV.SMOK.MA,SH.STA.MALN.FE.ZS,SH.STA.MALN.MA.ZS,SE.PRM.CMPT.FE.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.ENRL.FE.ZS,SE.PRM.TCHR.FE.ZS,SE.SEC.PROG.FE.ZS,SE.SEC.PROG.MA.ZS,SG.GEN.PARL.ZS,SG.TIM.UWRK.FE,SG.TIM.UWRK.MA,SG.VAW.1549.ZS,SE.PRM.REPT.FE.ZS,SE.PRM.REPT.MA.ZS,SE.PRE.ENRR.FE,SE.PRE.ENRR.MA,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.PRM.ENRR.FE,SE.PRM.NENR.FE,SE.PRM.ENRR.MA,SE.PRM.NENR.MA,SE.ENR.SECO.FM.ZS,SE.SEC.ENRR.FE,SE.SEC.NENR.FE,SE.SEC.ENRR.MA,SE.SEC.NENR.MA,SE.ENR.TERT.FM.ZS,SE.TER.ENRR.FE,SE.TER.ENRR.MA,SE.SEC.ENRL.GC.FE.ZS,SE.SEC.ENRL.FE.ZS,SE.SEC.TCHR.FE.ZS,SE.SEC.ENRL.VO.FE.ZS,SL.EMP.SELF.FE.ZS,SL.EMP.SELF.MA.ZS,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.MTR.1519.ZS,SE.PRM.TCAQ.FE.ZS,SE.PRM.TCAQ.MA.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.1524.FE.ZS,SL.UEM.1524.MA.ZS,SL.EMP.VULN.FE.ZS,SL.EMP.VULN.MA.ZS,SL.EMP.WORK.FE.ZS,SL.EMP.WORK.MA.ZS,SP.DYN.WFRT,SG.LAW.INDX,SG.DMK.SRCR.FN.ZS,SG.DMK.ALLD.FN.ZS,SG.VAW.REAS.ZS,SG.VAW.ARGU.ZS,SG.VAW.BURN.ZS,SG.VAW.GOES.ZS,SG.VAW.NEGL.ZS,SG.VAW.REFU.ZS,SP.M15.2024.FE.ZS,SP.M18.2024.FE.ZS,SH.DYN.AIDS.FE.ZS
1988,212,212,1,257,266,266,266,266,266,266,266,266,266,266,266,266,209,209,266,266,243,266,266,266,266,266,266,266,266,266,266,266,262,262,262,262,262,262,263,263,263,264,264,264,264,264,264,266,266,266,266,266,266,266,266,266,266,266,266,266,11,266,266,158,158,266,266,266,10,10,266,266,222,222,222,222,222,266,201,12,12,266,266,253,253,216,216,178,178,260,266,266,266,266,262,262,156,156,92,137,204,199,266,266,266,266,154,154,144,144,92,118,91,171,91,171,114,113,236,113,236,143,143,143,96,111,168,113,266,266,1,1,260,266,266,266,266,266,266,266,266,266,266,260,65,266,266,266,266,266,266,266,266,260,260,266
1989,212,212,1,233,266,266,266,266,266,266,266,266,266,266,266,266,209,209,266,266,248,266,266,266,266,266,265,265,265,266,266,266,256,256,256,258,258,258,262,262,262,261,261,261,263,263,263,266,266,266,266,266,266,266,266,266,266,266,266,266,11,266,266,164,164,266,266,266,10,10,266,266,216,216,216,216,216,266,203,12,12,266,266,253,253,224,224,184,184,261,266,266,266,266,262,262,163,163,89,134,205,202,266,266,266,266,163,163,147,147,92,119,89,171,89,171,116,115,230,115,230,141,141,141,95,115,169,121,266,266,1,1,263,266,266,266,266,266,266,266,266,266,266,263,65,266,266,266,266,266,266,266,266,263,263,266
1990,215,215,1,192,266,266,266,266,266,266,266,266,266,266,266,266,213,213,266,266,232,266,266,266,266,266,266,266,266,266,266,266,247,247,245,255,255,254,258,258,258,255,255,254,255,255,255,266,266,266,266,266,266,266,266,266,266,266,266,262,9,266,266,170,170,266,266,266,8,8,266,266,209,209,208,208,208,266,201,10,10,266,266,251,251,228,228,190,190,249,108,108,266,266,262,262,170,170,89,137,204,204,266,266,266,266,169,169,139,139,89,120,88,174,88,174,115,114,234,114,234,140,140,140,95,114,168,117,266,266,1,1,261,266,266,266,266,266,266,266,266,266,266,260,65,266,266,266,266,266,266,266,266,261,261,78
1991,216,216,1,217,266,266,266,266,266,266,266,266,266,266,266,266,218,218,266,266,249,31,31,266,266,266,264,264,263,266,266,266,243,243,242,249,249,248,258,258,257,254,254,253,252,252,251,31,31,31,31,31,31,31,31,31,31,31,31,262,10,266,266,163,163,31,31,31,9,9,266,266,204,204,203,203,203,266,199,10,10,266,266,247,247,213,213,173,173,257,108,108,266,266,256,256,166,166,71,120,198,197,266,266,266,266,164,164,124,124,72,119,71,174,71,174,114,113,228,113,228,140,139,139,85,112,161,115,31,31,1,1,261,266,266,31,31,31,31,31,31,31,31,261,65,266,266,266,266,266,266,266,266,262,262,78
1992,212,212,1,212,266,266,266,266,266,266,266,266,266,266,266,266,217,217,266,266,241,31,31,266,266,266,265,265,265,266,266,266,258,258,257,260,260,259,262,262,262,263,263,262,263,263,263,31,31,31,31,31,31,31,31,31,31,31,31,255,9,266,266,145,145,31,31,31,9,9,266,266,218,218,217,217,217,266,195,10,10,266,266,247,247,222,222,183,183,249,108,108,266,266,253,253,152,152,71,126,193,193,266,266,266,266,152,152,126,126,73,120,72,169,72,169,115,114,222,114,222,134,134,134,87,113,161,120,31,31,1,1,255,266,266,31,31,31,31,31,31,31,31,255,65,266,266,266,266,266,266,266,266,255,255,75
1993,213,213,1,208,266,266,266,266,266,266,266,266,266,266,266,266,216,216,266,266,238,31,31,266,266,266,266,266,266,266,266,266,264,264,263,265,265,265,266,266,265,265,265,264,265,265,264,31,31,31,31,31,31,31,31,31,31,31,31,259,10,266,266,150,150,31,31,31,9,9,266,266,222,222,221,221,221,266,195,10,10,266,266,247,247,222,222,177,177,246,108,108,266,266,256,256,156,156,75,122,187,187,266,266,266,266,154,154,124,124,74,110,75,169,75,169,107,108,221,108,221,134,134,134,88,108,150,120,31,31,1,1,257,266,266,31,31,31,31,31,31,31,31,259,65,266,266,266,266,266,266,266,266,259,259,75
1994,205,205,1,209,266,266,266,266,266,266,265,265,265,265,265,265,210,210,264,264,248,31,31,266,266,266,266,266,266,266,266,266,264,264,263,265,265,264,266,266,266,264,264,264,264,264,264,31,31,31,31,31,31,31,31,31,31,31,31,261,10,266,266,148,148,31,31,31,8,8,266,266,216,217,216,216,216,266,187,10,10,266,266,242,242,223,223,175,175,254,108,108,266,266,262,262,153,153,73,109,192,192,266,266,266,266,155,155,122,122,74,118,73,161,73,161,114,113,215,113,215,135,135,135,86,113,149,118,31,31,1,1,261,266,266,31,31,31,31,31,31,31,31,261,65,266,266,266,266,266,266,266,266,261,261,75
1995,208,208,1,186,266,266,266,266,266,266,266,266,266,266,266,266,211,211,262,264,232,31,31,266,266,266,266,266,266,266,266,266,262,262,262,264,264,264,263,263,263,262,262,262,261,261,261,31,31,31,31,31,31,31,31,31,31,31,31,258,9,266,266,145,145,31,31,31,7,7,266,266,220,220,221,221,221,266,186,10,10,266,266,240,240,222,222,170,170,247,108,108,266,266,259,259,157,157,76,116,190,190,266,266,266,266,156,156,117,117,75,125,75,164,75,164,122,122,221,122,221,137,137,137,97,122,154,129,31,31,1,1,258,266,266,31,31,31,31,31,31,31,31,258,65,266,266,266,266,266,266,266,266,258,258,75
1996,206,206,1,197,266,266,266,266,266,266,264,264,265,265,265,265,207,207,260,261,235,31,31,266,266,266,265,265,265,266,266,266,259,259,259,261,261,261,264,264,264,263,263,263,263,263,263,31,31,31,31,31,31,31,31,31,31,31,31,256,10,266,266,144,144,31,31,31,8,8,266,266,217,217,217,217,217,266,178,10,10,266,266,234,234,231,231,177,177,245,108,108,266,266,256,256,155,155,86,132,192,192,266,266,266,266,154,154,120,120,86,130,85,162,85,162,128,127,219,127,219,136,136,136,110,127,160,130,31,31,1,1,254,266,266,31,31,31,31,31,31,31,31,254,65,266,266,266,266,266,266,266,266,256,256,74
1997,213,213,1,195,266,266,266,266,266,266,266,266,266,266,266,266,213,213,264,265,235,31,31,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,31,31,31,31,31,31,31,31,31,31,31,31,256,9,266,266,154,154,31,31,31,8,8,266,266,223,223,223,223,223,266,183,10,10,263,263,230,230,239,239,186,186,240,108,108,266,266,257,257,164,164,98,144,209,209,67,266,266,266,165,165,131,131,98,148,97,172,97,172,144,142,218,142,218,151,151,151,122,141,175,147,31,31,1,1,254,266,266,31,31,31,31,31,31,31,31,255,65,266,266,266,266,266,266,266,266,256,256,74
1998,206,206,1,181,265,265,265,265,265,265,265,265,265,265,265,265,216,216,259,261,241,31,31,266,266,266,265,265,265,266,266,266,263,263,263,264,264,264,263,263,263,264,264,264,263,263,263,31,31,31,31,31,31,31,31,31,31,31,31,256,9,266,266,134,134,31,31,31,8,8,266,266,221,221,221,221,221,266,182,10,10,231,231,225,225,220,220,160,160,238,108,108,266,266,255,255,160,160,82,124,169,169,60,266,266,266,163,163,121,121,80,132,79,183,79,183,130,128,187,128,187,143,143,143,119,132,174,144,31,31,1,1,254,252,252,31,31,31,31,31,31,31,31,254,65,266,266,266,266,266,266,266,266,256,256,74
1999,167,167,1,182,258,258,259,259,258,258,256,256,257,257,257,257,183,183,260,260,235,31,31,266,266,266,264,264,264,266,266,266,262,262,262,263,263,263,263,263,263,263,263,263,262,262,262,31,31,31,31,31,31,31,31,31,31,31,31,257,9,266,266,87,87,31,31,31,8,8,266,266,218,218,219,219,219,266,180,10,10,188,189,222,222,188,188,133,133,238,108,108,266,266,253,253,107,107,50,75,131,131,76,266,266,266,106,106,87,87,51,77,52,136,52,136,74,75,129,75,129,108,108,108,68,74,114,108,31,31,1,1,251,217,217,31,31,31,31,31,31,31,31,253,65,266,265,265,265,265,265,265,265,257,257,73
2000,161,161,1,73,263,263,263,263,263,263,242,242,244,244,244,244,173,173,252,259,164,31,31,266,266,266,260,260,260,266,266,266,240,240,240,252,252,252,242,242,242,252,252,252,241,241,241,31,31,31,31,31,31,31,31,31,31,31,31,253,7,266,266,87,87,31,31,31,7,7,33,33,181,182,170,167,170,33,168,10,10,194,194,215,215,192,192,137,137,163,108,108,56,56,216,216,101,101,50,85,129,129,68,254,254,265,103,103,98,98,55,82,52,133,52,133,79,77,126,77,126,112,112,112,64,77,114,109,31,31,1,1,251,213,213,31,31,31,31,31,31,31,31,244,65,266,258,260,260,260,260,260,260,253,253,72
2001,174,174,1,176,259,259,259,259,259,259,257,257,257,257,257,257,184,184,262,261,242,31,31,265,265,265,259,259,259,265,265,265,237,237,237,250,250,250,236,236,236,249,249,249,233,233,233,31,31,31,31,31,31,31,31,31,31,31,31,260,8,266,266,86,86,31,31,31,8,8,33,33,194,195,190,190,190,33,173,10,10,187,187,209,209,186,186,129,129,245,108,108,266,266,251,251,100,100,52,78,129,129,55,258,258,266,103,103,91,91,55,84,54,146,54,146,79,79,129,79,129,113,113,113,61,78,114,102,31,31,1,1,257,209,209,31,31,31,31,31,31,31,31,258,65,266,261,261,261,261,261,261,261,260,260,72
2002,168,168,1,165,264,264,264,264,264,264,262,262,266,266,266,266,178,178,260,262,246,31,31,266,266,266,263,263,263,266,266,266,239,239,239,253,253,253,239,239,239,250,250,250,242,242,242,31,31,31,31,31,31,31,31,31,31,31,31,261,8,266,266,82,82,31,31,31,8,8,33,33,207,207,201,201,201,33,175,10,10,179,179,211,211,194,194,131,131,247,108,108,266,266,247,247,94,94,47,87,132,132,59,261,261,266,98,98,97,97,50,84,48,140,48,140,81,80,123,80,123,97,97,97,61,80,119,103,31,31,1,1,258,211,211,31,31,31,31,31,31,31,31,259,65,266,263,262,262,262,262,262,263,261,261,72
2003,159,159,1,160,258,258,258,258,258,258,258,258,262,262,262,262,178,178,257,258,242,31,31,266,266,266,265,265,265,266,266,266,246,246,246,262,262,262,247,247,247,254,254,254,245,245,245,31,31,31,31,31,31,31,31,31,31,31,31,256,8,266,266,88,88,31,31,31,8,8,33,33,213,213,203,203,203,33,169,10,10,178,179,208,208,201,201,134,134,238,108,108,266,266,250,250,101,101,56,88,137,137,44,255,255,266,109,109,96,96,59,88,57,138,57,138,84,83,135,83,135,100,100,100,68,83,114,100,31,31,1,1,254,201,201,31,31,31,31,31,31,31,31,255,65,266,258,257,257,257,258,257,257,256,256,72
2004,164,165,1,157,259,259,259,259,259,259,255,255,266,266,266,266,182,182,258,258,237,31,31,266,266,266,261,261,261,266,266,266,231,231,231,249,249,249,231,231,231,238,238,238,228,228,228,31,31,31,31,31,31,31,31,31,31,31,31,258,8,264,266,79,79,31,31,31,8,8,33,33,205,205,197,197,197,33,167,10,10,176,177,210,210,188,188,132,132,224,108,108,266,266,245,245,95,95,50,88,122,122,37,259,259,266,95,95,93,93,53,75,51,142,51,142,71,70,126,70,126,99,99,99,58,70,111,92,31,31,1,1,256,196,196,31,31,31,31,31,31,31,31,257,65,266,260,261,261,261,261,261,261,258,258,72
2005,157,157,1,153,255,255,255,255,255,255,240,240,260,260,260,260,171,171,252,253,225,31,31,266,266,266,263,263,263,266,266,266,225,225,225,240,240,240,227,227,227,233,233,233,221,221,221,31,31,31,31,31,31,31,31,31,31,31,31,251,7,232,266,76,76,31,31,31,7,7,33,33,203,203,189,179,189,33,164,10,10,177,178,203,203,189,189,134,134,221,108,108,56,56,236,236,92,92,44,91,130,130,33,259,259,264,88,88,89,89,47,71,45,136,45,136,69,68,121,68,121,102,102,102,57,68,116,95,31,31,1,1,249,188,188,31,31,31,31,31,31,31,31,255,65,266,256,256,257,258,256,256,256,251,251,72
2006,155,155,1,138,258,258,258,258,258,258,235,235,255,255,255,255,177,177,255,257,208,31,31,266,266,266,260,260,260,265,265,265,213,213,213,228,228,228,220,220,220,214,214,214,211,211,211,31,31,31,31,31,31,31,31,31,31,31,31,254,7,231,266,82,82,31,31,31,8,8,33,33,196,196,184,162,184,33,162,10,10,173,175,199,199,197,197,136,136,205,108,108,266,266,226,226,104,104,55,95,133,133,30,258,258,262,95,95,99,99,58,80,55,136,55,136,78,76,132,76,132,101,101,101,66,77,119,104,31,31,1,1,250,190,190,31,31,31,31,31,31,31,31,255,65,260,255,255,255,255,255,255,255,252,251,72
2007,149,149,1,156,254,254,255,255,254,254,247,247,261,261,261,261,175,175,257,258,231,31,31,266,266,266,255,255,255,264,264,264,211,211,211,230,230,230,215,215,215,214,214,214,208,208,208,31,31,31,31,31,31,31,31,31,31,31,31,254,7,249,264,78,78,31,31,31,8,8,33,33,190,190,191,190,191,33,167,10,10,166,166,195,195,188,188,131,131,219,108,108,266,266,241,241,96,96,45,77,119,119,31,259,259,263,86,86,89,89,50,77,47,135,47,135,74,71,131,71,131,107,107,107,59,70,113,101,31,31,1,1,252,178,178,31,31,31,31,31,31,31,31,254,65,260,257,256,256,257,256,256,257,253,253,72
2008,144,144,1,158,257,257,257,257,257,257,254,254,260,260,260,260,171,171,260,261,239,31,31,265,265,265,254,254,254,263,263,263,204,204,204,223,223,223,212,212,212,207,207,207,203,203,203,31,31,31,31,31,31,31,31,31,31,31,31,256,7,258,259,78,78,31,31,31,8,8,33,33,193,193,189,188,189,33,165,10,10,164,164,194,194,171,171,121,121,232,108,108,266,266,246,246,88,88,45,79,117,117,32,259,259,262,82,82,88,88,54,81,47,133,47,133,77,72,130,72,130,98,98,98,59,70,122,102,31,31,1,1,253,177,177,31,31,31,31,31,31,31,31,255,65,263,259,258,258,258,259,258,258,257,257,72
2009,148,152,1,160,252,252,252,252,252,252,251,251,259,259,259,259,171,171,257,258,235,31,31,264,264,264,254,254,254,261,261,261,201,201,201,224,224,224,210,210,210,207,207,207,197,197,197,31,31,31,31,31,31,31,31,31,31,31,31,252,7,212,223,77,77,31,31,31,8,8,33,33,196,196,188,187,188,33,163,10,10,167,167,175,175,165,165,122,122,235,108,108,266,266,241,241,86,86,44,80,123,123,32,254,254,262,81,81,93,93,55,83,49,131,49,131,78,75,121,75,121,93,93,93,57,71,117,101,31,31,1,1,251,175,175,31,31,31,31,31,31,31,31,255,65,262,258,258,258,258,258,258,258,255,255,72
2010,148,149,1,102,254,254,254,254,254,254,245,245,250,250,250,250,175,175,256,258,193,31,31,256,256,256,242,242,242,253,253,253,193,193,193,215,215,215,203,203,203,200,200,200,189,189,189,31,31,31,31,31,31,31,31,31,31,31,31,255,7,231,231,75,75,31,31,31,8,8,33,33,179,179,174,167,174,33,160,10,10,163,163,165,165,184,184,123,123,194,103,103,56,56,226,226,86,86,52,78,120,120,32,250,250,264,81,81,84,84,60,82,55,140,55,140,76,72,122,72,122,89,89,89,66,71,122,99,31,31,1,1,255,180,180,31,31,31,31,31,31,31,31,252,65,259,256,256,256,256,256,256,256,252,252,69
2011,143,143,1,159,256,256,256,256,256,256,244,244,247,247,247,247,169,170,258,259,227,31,31,259,259,259,243,243,243,254,254,254,194,194,194,211,211,211,201,201,201,198,198,199,189,189,189,31,31,31,31,31,31,31,31,31,31,31,31,254,8,260,260,76,76,31,31,31,8,8,33,33,171,172,167,160,167,33,154,10,10,163,163,171,171,177,177,116,116,231,103,103,266,266,239,239,86,86,46,71,115,115,31,258,258,263,81,81,70,70,49,74,47,138,48,138,72,68,115,68,115,86,85,85,59,66,113,96,31,31,1,1,254,172,172,31,31,31,31,31,31,31,31,257,65,259,257,257,257,257,257,257,257,253,253,69
2012,139,140,1,154,253,253,253,253,253,253,242,242,242,242,242,242,156,156,246,248,230,31,31,250,250,250,242,242,242,248,248,248,203,203,203,224,224,224,209,209,209,204,204,204,198,198,198,31,31,31,31,31,31,31,31,31,31,31,31,249,6,263,263,73,73,31,31,31,8,8,33,33,183,183,175,174,175,33,163,10,10,168,168,159,159,170,170,117,117,224,103,103,266,266,226,226,81,81,45,79,117,117,30,257,257,231,74,74,76,76,48,80,47,139,47,139,78,72,121,72,121,84,84,84,60,73,120,92,31,31,1,1,249,161,161,31,31,31,31,31,31,31,31,252,65,254,252,252,253,253,252,252,253,243,243,69
2013,140,141,1,158,259,259,259,259,259,259,255,255,255,255,255,255,167,167,258,259,237,31,31,239,239,239,226,226,226,234,234,234,207,207,207,231,231,231,213,213,213,211,211,211,203,203,203,31,31,31,31,31,31,31,31,31,31,31,31,252,8,218,218,76,76,31,31,31,8,8,33,33,193,193,187,185,187,33,166,10,10,149,149,157,157,185,185,125,124,236,103,103,266,266,239,239,84,84,58,81,118,118,35,253,253,259,85,85,66,66,54,89,54,140,53,140,85,81,113,81,113,88,88,88,66,83,114,98,31,31,1,1,251,168,168,31,31,31,31,31,31,31,31,254,65,260,256,254,254,254,254,254,254,251,251,69
2014,141,141,1,148,257,257,257,257,257,257,248,248,248,248,248,248,160,160,257,258,219,31,31,225,225,225,211,211,211,213,213,213,197,197,197,221,221,221,205,205,205,202,202,202,191,191,191,31,31,31,31,31,31,31,31,31,31,31,31,254,8,254,254,75,75,31,31,31,8,8,33,33,182,182,176,169,176,33,168,11,11,146,146,155,155,196,196,134,134,224,103,103,266,266,222,222,83,83,50,74,115,115,31,256,256,254,83,83,56,56,49,83,46,136,47,136,81,75,107,75,107,87,87,88,59,76,100,98,31,31,1,1,254,156,156,31,31,31,31,31,31,31,31,256,65,258,256,256,256,256,256,256,256,251,250,69
2015,150,150,1,165,259,259,259,259,259,259,256,256,256,256,256,256,160,160,265,266,238,31,31,225,225,225,201,201,200,215,215,214,192,192,191,224,224,223,196,196,195,204,204,203,185,185,184,31,31,31,31,31,31,31,31,31,31,31,31,254,7,257,257,76,76,31,31,31,8,8,33,33,187,187,184,183,184,33,183,14,14,139,139,162,162,188,185,127,128,242,103,103,56,56,241,241,85,85,50,69,117,117,29,253,253,258,86,86,57,57,48,83,42,142,43,142,79,71,101,72,101,73,72,73,56,73,98,97,31,31,1,1,254,147,147,31,31,31,31,31,31,31,31,259,65,261,258,258,258,258,258,258,258,253,253,69
2016,143,143,1,167,264,264,264,264,264,264,264,264,264,264,264,264,159,158,266,266,231,31,31,222,222,221,203,203,202,214,214,213,193,193,192,223,223,222,201,201,200,210,210,209,192,192,191,31,31,31,31,31,31,31,31,31,31,31,31,250,8,248,248,77,77,31,31,31,8,8,33,33,195,195,192,192,192,33,197,14,14,148,148,158,158,182,178,121,121,238,103,103,266,266,238,238,80,80,53,66,112,112,26,258,258,252,79,79,59,59,52,87,46,145,46,145,85,76,111,77,111,80,80,80,56,78,92,95,31,31,1,1,248,147,147,31,31,31,31,31,31,31,31,254,65,256,254,254,254,254,254,254,254,248,248,69
2017,146,145,1,172,266,266,266,266,266,266,266,266,266,266,266,266,161,162,266,266,238,31,31,231,231,231,212,212,212,226,226,225,200,200,200,233,233,233,206,206,206,223,223,223,198,198,198,31,31,31,31,31,31,31,31,31,31,31,31,255,8,255,255,84,84,31,31,31,8,8,33,33,195,195,187,187,187,33,229,15,15,145,145,147,147,189,189,131,131,246,103,103,266,266,244,244,89,89,63,79,163,163,28,259,259,259,92,92,67,67,53,89,53,150,52,150,89,82,108,82,108,85,85,85,65,83,96,94,31,31,1,1,255,153,152,31,31,31,31,31,31,31,31,259,65,260,259,259,260,260,259,259,259,254,253,69
2018,181,181,1,173,266,266,266,266,266,266,266,266,266,266,266,266,161,161,266,266,225,31,31,234,234,234,208,207,207,226,226,226,199,199,199,240,240,240,202,202,202,224,224,224,197,198,197,31,31,31,31,31,31,31,31,31,31,31,31,252,8,258,258,136,136,31,31,31,9,9,33,33,188,188,180,180,180,33,252,15,15,175,175,151,151,191,191,128,128,232,103,103,56,56,228,228,88,88,127,77,265,265,27,262,262,266,137,137,67,67,60,89,55,189,55,189,90,85,161,84,161,83,83,83,131,144,101,153,31,31,1,1,250,145,145,31,31,31,31,31,31,31,31,246,65,252,254,254,254,254,254,254,255,237,237,69
2019,264,264,1,141,266,266,266,266,266,266,266,266,266,266,266,266,161,161,266,266,210,31,31,233,233,233,208,207,207,229,229,229,199,199,199,235,235,235,200,200,201,221,221,221,196,196,196,31,31,31,31,31,31,31,31,31,31,31,31,261,8,227,227,262,262,31,31,31,9,9,33,33,198,198,182,182,182,33,266,16,16,264,264,138,138,185,185,126,126,212,103,103,56,56,232,232,84,84,261,75,266,266,26,262,262,266,263,263,73,73,63,97,55,264,55,264,95,87,264,87,264,91,91,91,261,261,103,261,31,31,1,1,261,141,141,31,31,31,31,31,31,31,31,264,65,262,264,264,264,264,264,264,264,245,245,69
2020,266,266,1,224,266,266,266,266,266,266,266,266,266,266,266,266,161,161,266,266,246,31,31,232,232,232,219,219,219,226,226,226,214,214,214,232,232,232,219,219,219,229,229,229,213,213,213,31,31,31,31,31,31,31,31,31,31,31,31,262,7,255,255,266,266,31,31,31,9,9,33,33,196,196,189,189,189,33,266,26,26,266,266,154,154,189,189,135,135,252,106,106,56,56,247,247,96,96,266,80,266,266,28,265,265,266,266,266,78,78,76,106,62,266,62,266,105,88,266,88,266,95,95,95,266,266,103,266,31,31,1,1,262,145,145,31,31,31,31,31,31,31,31,263,65,262,263,263,263,263,263,263,263,254,254,71
2021,266,266,1,260,266,266,266,266,266,266,266,266,266,266,266,266,165,165,266,266,259,31,31,263,263,263,255,255,255,260,260,260,245,245,245,261,261,261,246,246,246,260,260,260,245,245,245,31,31,31,31,31,31,31,31,31,31,31,31,259,8,214,214,266,266,31,31,31,9,9,266,266,184,184,174,174,174,266,266,44,44,266,266,149,149,237,237,195,195,260,108,108,266,266,251,251,98,98,266,82,266,266,29,266,266,266,266,266,195,195,195,211,70,266,70,266,210,90,266,90,266,113,113,113,266,266,103,266,31,31,1,1,259,155,155,31,31,31,31,31,31,31,31,263,65,266,262,263,263,263,263,263,263,261,260,65
2022,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,220,220,266,266,266,32,32,263,263,263,258,258,258,261,261,261,257,257,257,261,261,261,257,257,257,261,261,261,257,257,257,32,32,32,32,32,32,32,32,32,32,32,32,266,266,260,260,266,266,32,32,32,266,266,266,266,185,185,180,180,180,266,266,265,265,266,266,169,169,265,265,265,265,266,266,266,266,266,258,258,165,165,266,140,266,266,31,266,266,266,266,266,262,262,262,264,141,266,141,266,264,160,266,160,266,179,179,179,266,266,160,266,32,32,264,264,266,186,187,32,32,32,32,32,32,32,32,266,65,266,262,266,266,266,266,266,266,266,266,266
2023,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,33,33,33,33,266,266,263,263,266,266,33,33,33,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,261,261,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,33,33,33,33,266,266,266,266,266,66,266,266,266,266,266,266,266,266,266,266,266
